0 214 TERRESTRE 0.0 -71.7605 -36.8977  0 -1 1 2015-12-21T21:01 2015-12-21T23:00
1 215 TERRESTRE 0.0 -71.9898 -38.3250  0 -1 1 2015-12-21T21:20 2015-12-21T23:15
2 216 MECANIZADA 0.0 -72.031 -38.3002  0 -1 1 2015-12-22T02:20 2015-12-21T23:30
3 217 MECANIZADA 0.0 -72.051 -39.0002  0 -1 1 2015-12-22T02:20 2015-12-21T23:30
4 218 MECANIZADA 0.0 -73.031 -36.9902  0 -1 1 2015-12-22T02:00 2015-12-21T23:50
5 219 MECANIZADA 0.0 -71.031 -38.402   0 -1 1 2015-12-22T21:00 2015-12-22T11:30
6 220 TERRESTRE 0.0 -71.9898 -38.3250  0 -1 1 2015-12-21T22:00 2015-12-21T21:30
7 221 MECANIZADA 0.0 -72.031 -38.3002  0 -1 1 2015-12-21T22:50 2015-12-22T02:30
8 222 TERRESTRE 0.0 -71.9898 -38.3250  0 -1 1 2015-12-21T23:20 2015-12-22T01:50
9 223 MECANIZADA 0.0 -72.031 -38.3002  0 -1 1 2015-12-21T23:50 2015-12-22T01:00
10 713 CISTERNA 0.0 -72.3564 -37.7224   0 -1 1 2015-12-21T22:50 2015-12-22T10:00
11 W-10 CHINOOK 0.0 -72.84809 -37.81532 0 -1 1 2015-12-21T21:07 2015-12-21T21:05
